topicID,words10,words2,general,specific,genspec
0,shooting mass people florida parkland left dead two victim shooter,shooting mass,incident,parkland,incident parkland (1)
1,officer police department incident county city say video enforcement call,officer police,incident,mass shooting,incident mass shooting (1)
2,ar 15 semi used store buy automatic rifle ammunition gun,ar 15,guns,ar 15,guns ar 15
3,school student high parkland florida medium child control week national,school student,incident,parkland,incident parkland (2)
4,trump president white house read morning republican wednesday lawmaker support,trump president,government,trump,government trump
5,nation action sign take support issue three policy program matter,nation action,culture,national identity,culture national identity
6,say one like people think know would may could time,say one,meta,opinions,meta opinions
7,gun control violence law owner show crime america say debate,gun control,gun control,national identity,gun control national identity
8,get news whether already sign read told life let follow,get news,meta,meta,meta meta
9,ban assault magazine weapon bill ammunition high bullet would president,ban assault,gun control,bans,gun control bans
10,video street 000 country want people show world earlier across,video street,incident,video,incident video
11,state law carry bill legislation republican would measure lawmaker enforcement,state law,gun control,legal,gun control legal
12,firearm ammunition federal act gun sale use report crime owner,firearm ammunition,guns,ammunition,guns ammunition
13,com second amendment twitter news follow armed bullet medium host,com second,gun control,second ammendment,gun control second ammendment (1)
14,rifle automatic military round semi assault fire style magazine long,rifle automatic,guns,assault weapons,guns assault weapons (1)
15,said told county home authority official year two old according,said told,meta,meta,meta meta
16,new york city year morning old time law week first,new york,incident,nyc,incident nyc
17,background check sale system purchase gun record buy federal criminal,background check,gun control,background check,gun control background check
18,court federal case right law family arm amendment second state,court federal,gun control,second ammendment,gun control second ammendment (2)
19,nra national association member group republican right president political amendment,nra national,gun control,nra,gun control nra
20,weapon read 2016 use used system military assault report made,weapon read,guns,assault weapons,guns assault weapons (2)
21,company sale store year make group million end asked said,company sale,guns,sales,guns sales
22,attack american government left report military official used member including,attack american,culture,government,culture government
23,shot man killed read year police old morning two 2016,shot man,incident,mass shooting,incident mass shooting (2)
