topicID,topics,global,specific
0,think know thing could get even way,opinion,opinion
1,officer police shot department incident san killed,authority,police shooting
2,student school high march florida parkland stoneman,incident,parkland
3,trump president donald meeting white house mr,trump,trump
4,breitbart hawkins awr awrhawkins news com amendment,meta,breitbart
5,nowhere 57 camp 700 deep wall fled,sales,walmart
6,ar 15 automatic semi used orlando 15s,ar15s,orlando
7,carry concealed permit open carrying right handgun,legal,permits
8,copied read joe 2018 morning feb discus,incident,parkland
9,court supreme right ruling appeal case amendment,legal,supreme court
10,dick store sporting walmart retailer sell sale,sales,sales
11,jones alex infowars crew informed get breaking,meta,infowars
12,ban assault magazine feinstein capacity 1994 bill,legal,1994 bill
13,check background sale system purchase record nics,legal,background checks
14,death violence research percent health suicide study,research,research
15,nra national member association group right amendment,nra,nra
16,shot chicago 2017 tribune city killed weekend,incident,chicago
17,vega la bump stock automatic fire device,incident,vegas
18,school teacher arming district classroom program educator,legal,arm teachers
19,hook sandy elementary connecticut family lawsuit school,incident,sandyhook
20,atf ammunition federal round bureau tobacco caliber,legal,regulation
21,straight sent turn news get fox daily,meta,fox
22,military attack army war force terrorist member,authority,military
23,suspect county sheriff deputy home told man,authority,sherrif
24,npr may know record right final think,opinion,opinion
25,comment please community hate topic speak rule,opinion,opinion
26,bill republican house senate legislation democrat lawmaker,legal,legal
27,company fund manager maker outdoor industry product,sales,sales
28,kelly giffords facebook mark purchase march store,legal,legal
29,article supported wsj automatically click medium com,meta,wsj
